Rule,Instance,Algorithm,Run,Type,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_17,QIMIG,17.0,INTEGRATED,0.996023857,0.770769231,0.833986024,0.22926525068027162,0.767704542317544,193.2488132
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,QIMIG,14.0,INTEGRATED,1.0,0.769230769,0.835313113,0.23076923100000002,0.769230769,212.628413
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_15,QIMIG,15.0,INTEGRATED,1.0,0.769230769,0.835313113,0.23076923100000002,0.769230769,229.7003946
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,QIMIG,1.0,INTEGRATED,0.965517241,0.818461538,0.845524652,0.18478439829589924,0.7902387260343766,221.497705
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_16,QIMIG,16.0,INTEGRATED,1.0,0.784615385,0.845569151,0.21538461499999995,0.784615385,246.4970522
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_3,QIMIG,3.0,INTEGRATED,0.998007968,0.770769231,0.835161791,0.22923942428784005,0.7692338340272327,188.8432639
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,QIMIG,13.0,INTEGRATED,0.972972973,0.775384615,0.822811197,0.22623556609683843,0.7544282740750103,255.4197938
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_21,QIMIG,21.0,INTEGRATED,0.994035785,0.769230769,0.831787163,0.23084629049845615,0.7646429113090687,233.3585272
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_0,QIMIG,0.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,142.3187413
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_26,QIMIG,26.0,INTEGRATED,0.994023904,0.767692308,0.830766105,0.23238454657263266,0.7631045050689303,227.8676457
