Rule,Algorithm,Precision,Recall,F1,Time
Rule2,NSGA-II,0.9861111111111112,0.9466666666666667,0.9727051314352901,6.938880205154419
Rule2,NSGA-III,1.0,0.9333333333333333,0.9725545390570021,7.941360950469971
Rule2,MOEA/D,0.5333333333333333,0.5333333333333333,0.6208333333333333,16.48871684074402
Rule2,AGE-MOEA,1.0,0.8666666666666667,0.9442857142857143,26.898929357528687
Rule2,GA,0.0,0.0,0.38095238095238093,20.65052080154419
Rule2,DE,0.0,0.0,0.38095238095238093,4.868982791900635
Rule2,SA,0.4027777777777778,0.38666666666666666,0.5141513395481649,0.6328151226043701
Rule2,ACO,0.0,0.0,0.38095238095238093,0.10100078582763672
Rule10,PSO,0.65,0.16956521739130434,0.39681459718571205,183.40202689170837
Rule3,NSGA-II,0.9099307159353349,0.49915540540540543,0.4759760131999019,44.787580490112305
Rule3,MOEA/D,0.8688888888888889,0.4953547297297297,0.4406288121294426,21.74321150779724
Rule2,PSO,0.3684210526315789,0.09333333333333334,0.43933294997124783,90.45132684707642
Rule3,NSGA-III,0.9180588703261734,0.4873310810810811,0.475911130238313,44.87374138832092
Rule3,AGE-MOEA,0.9096091205211726,0.4717060810810811,0.46174996352960485,52.24337196350098
Rule3,DE,0.8465608465608465,0.13513513513513514,0.24073014125276243,51.50796627998352
Rule3,SA,0.8627300613496932,0.4750844594594595,0.42737468121576994,0.987358808517456
Rule3,ACO,0.8576779026217228,0.09670608108108109,0.2132372646078464,2.337292194366455
Rule4,NSGA-II,0.5,1.0,0.8041431261770244,22.248613595962524
Rule4,NSGA-III,0.6262626262626263,1.0,0.8680738484746324,47.141682386398315
Rule4,MOEA/D,0.11851851851851852,0.5161290322580645,0.4500973325616878,17.49030590057373
Rule3,GA,0.8419864559819413,0.31503378378378377,0.3452109642802983,168.62674498558044
Rule1,PSO,0.7114427860696517,0.22,0.39975650120577655,472.4927968978882
Rule4,AGE-MOEA,0.6326530612244898,1.0,0.8709558823529412,49.808605432510376
Rule4,DE,0.0,0.0,0.4702886247877759,11.482849597930908
Rule4,SA,0.10727969348659004,0.45161290322580644,0.44236298217722364,0.7025203704833984
Rule4,ACO,0.0,0.0,0.47386172006745364,0.3005673885345459
Rule5,NSGA-II,0.9328859060402684,0.7513513513513513,0.8447390932420873,8.547245025634766
Rule4,GA,0.10416666666666667,0.08064516129032258,0.5015178143473398,39.50086307525635
Rule5,NSGA-III,0.935251798561151,0.7027027027027027,0.8216325778514832,10.012320756912231
Rule5,MOEA/D,0.5698324022346368,0.5513513513513514,0.5592253050816587,17.05697536468506
Rule5,AGE-MOEA,0.9652777777777778,0.7513513513513513,0.858260663180541,25.811606407165527
Rule5,DE,0.6666666666666666,0.010810810810810811,0.3396345804002215,7.533782720565796
Rule5,GA,1.0,0.016216216216216217,0.34681246539587124,29.110544681549072
Rule5,SA,0.564625850340136,0.4486486486486487,0.5393401015228426,0.6970157623291016
Rule5,ACO,0.0,0.0,0.3290203327171904,0.17499613761901855
Rule7,NSGA-II,0.45219123505976094,0.6513629842180775,0.6428793013438341,41.09497141838074
Rule7,NSGA-III,0.43936170212765957,0.5925394548063128,0.6279424164104501,46.02064371109009
Rule7,MOEA/D,0.2985332182916307,0.4964131994261119,0.49510091477929674,21.212254285812378
Rule7,AGE-MOEA,0.4246575342465753,0.5781922525107605,0.6156846744652136,60.97126793861389
Rule5,PSO,0.425,0.0918918918918919,0.38493679308050566,190.75999665260315
Rule7,DE,0.3114754098360656,0.13629842180774748,0.49060093365630136,48.04530477523804
Rule4,PSO,0.15,0.2903225806451613,0.5304207987134817,317.81352043151855
Rule7,SA,0.2984429065743945,0.4949784791965567,0.4952157642557181,0.9490334987640381
Rule7,ACO,0.2849162011173184,0.07317073170731707,0.461998392403425,2.0574517250061035
Rule8,NSGA-II,0.5397039030955586,0.723826714801444,0.7080307609998113,32.272793769836426
Rule7,GA,0.3027027027027027,0.321377331420373,0.5130025252053049,152.0375759601593
Rule8,NSGA-III,0.5472222222222223,0.7111913357400722,0.7108815996034041,39.137664794921875
Rule8,MOEA/D,0.3225108225108225,0.5379061371841155,0.5070077524194213,20.046528816223145
Rule8,AGE-MOEA,0.5181564245810056,0.6696750902527075,0.6854162025219765,61.02044057846069
Rule8,DE,0.2857142857142857,0.08664259927797834,0.4629082022692316,36.30652070045471
Rule8,GA,0.2975708502024291,0.26534296028880866,0.5004303803202935,118.40563988685608
Rule8,SA,0.2828870779976717,0.43862815884476536,0.4731328234512948,1.446030855178833
Rule8,ACO,0.3068181818181818,0.048736462093862815,0.4472785119036859,1.8461573123931885
Rule3,PSO,0.8454746136865342,0.3234797297297297,0.3509390636173492,1393.143290758133
Rule8,PSO,0.299009900990099,0.27256317689530685,0.5016190039090319,937.2728934288025
Rule7,PSO,0.29396325459317585,0.321377331420373,0.5065394107544772,1196.0075497627258
