Rule,Algorithm,Run,F1
Rule1,QF-MIG,7,0.5610793240128034
Rule1,QF-MIG,8,0.576511988061059
Rule1,QF-MIG,9,0.5547639186029156
Rule1,QF-MIG,10,0.5661645034255456
Rule1,QF-MIG,12,0.5669516676088185
Rule1,QF-MIG,11,0.5636129069314062
Rule1,QF-MIG,13,0.5734823505524143
Rule1,QF-MIG,16,0.5786136655396642
Rule1,QF-MIG,15,0.5700816735289214
Rule1,QF-MIG,14,0.581866337070716
Rule1,QF-MIG,17,0.5881189517553154
Rule1,QF-MIG,19,0.5870203754540848
Rule1,QF-MIG,18,0.5531567827730122
Rule1,QF-MIG,20,0.5678763240463718
Rule1,QF-MIG,21,0.5713358672476129
Rule1,QF-MIG,22,0.5542362399505256
Rule1,QF-MIG,23,0.5548466046076652
Rule1,QF-MIG,25,0.5708148436256917
Rule1,QF-MIG,24,0.5794142725236469
Rule1,QF-MIG,26,0.5871807744718882
Rule1,QF-MIG,27,0.5539840531796404
Rule1,QF-MIG,28,0.5870531944835351
Rule1,QF-MIG,29,0.5680671359797231
Rule1,QF-MIG,0,0.5722708621502368
Rule1,QF-MIG,2,0.5766017204941869
Rule1,QF-MIG,1,0.5649705291507539
Rule1,QF-MIG,4,0.5552595743834923
Rule1,QF-MIG,3,0.5966226325987456
Rule1,QF-MIG,6,0.5807153430182694
Rule1,QF-MIG,5,0.5679297683792066
Rule1,QF-MIG,7,0.5700816735289214
Rule1,QF-MIG,8,0.5566926042064164
Rule1,QF-MIG,9,0.5586657542109097
Rule1,QF-MIG,10,0.5676929859161466
Rule1,QF-MIG,11,0.553263352688977
Rule1,QF-MIG,13,0.5718322310442187
Rule1,QF-MIG,12,0.5711560203504804
Rule1,QF-MIG,14,0.5764334409759598
Rule1,QF-MIG,15,0.5882352941176471
Rule1,QF-MIG,16,0.5660380898770991
Rule1,QF-MIG,17,0.5796816706770569
Rule1,QF-MIG,18,0.5753603730921425
Rule1,QF-MIG,19,0.5808818904935766
Rule1,QF-MIG,20,0.5753603730921425
Rule1,QF-MIG,21,0.5766764684788066
Rule1,QF-MIG,22,0.5880152789737476
Rule1,QF-MIG,24,0.5582600856434528
Rule1,QF-MIG,23,0.566300444067017
Rule1,QF-MIG,25,0.5892490038323901
Rule1,QF-MIG,27,0.5701272391046341
Rule1,QF-MIG,26,0.576657783957054
Rule1,QF-MIG,28,0.5555893989306229
Rule1,QF-MIG,29,0.5692060464787738
Rule1,QF-MIG,2,0.5680251718141922
Rule1,QF-MIG,0,0.577639751552795
Rule1,QF-MIG,1,0.5602955995969097
Rule1,QF-MIG,3,0.5692973163841808
Rule1,QF-MIG,4,0.576511988061059
Rule1,QF-MIG,5,0.5678190475874889
Rule1,QF-MIG,6,0.5913500319457794
Rule1,QF-MIG,7,0.5711560203504804
Rule1,QF-MIG,8,0.5870531944835351
Rule1,QF-MIG,9,0.5533935357964022
Rule1,QF-MIG,10,0.5721348314606742
Rule1,QF-MIG,11,0.5699791156568518
Rule1,QF-MIG,12,0.5797855670467136
Rule1,QF-MIG,14,0.5652049865141179
Rule1,QF-MIG,13,0.57110866713485
Rule1,QF-MIG,15,0.5567828070761347
Rule1,QF-MIG,16,0.5860686854418646
Rule1,QF-MIG,17,0.562699033157102
Rule1,QF-MIG,18,0.5680251718141922
Rule1,QF-MIG,19,0.5650953389830509
Rule1,QF-MIG,21,0.5754784873838275
Rule1,QF-MIG,22,0.5678763240463718
Rule1,QF-MIG,20,0.5663829128617861
Rule1,QF-MIG,24,0.5882189374445528
Rule1,QF-MIG,23,0.5631844591494325
Rule1,QF-MIG,25,0.5713074803983895
Rule1,QF-MIG,26,0.5731054866115016
Rule1,QF-MIG,27,0.5776844948819471
Rule1,QF-MIG,28,0.5721839636339144
Rule1,QF-MIG,29,0.5630105243364911
Rule1,QF-MIG,1,0.5924351759902902
Rule1,QF-MIG,0,0.5714285714285714
Rule1,QF-MIG,2,0.5623994484026661
Rule1,QF-MIG,3,0.581866337070716
Rule1,QF-MIG,5,0.5702714663953143
Rule1,QF-MIG,4,0.5634856183824838
Rule1,QF-MIG,6,0.575538456784401
Rule1,QF-MIG,7,0.5586657542109097
Rule1,QF-MIG,8,0.5709437963944857
Rule1,QF-MIG,9,0.5624671324468484
Rule1,QF-MIG,10,0.5840317775571002
Rule1,QF-MIG,11,0.5724407789252756
Rule1,QF-MIG,12,0.5745418070386649
Rule1,QF-MIG,14,0.5848417101377273
Rule1,QF-MIG,13,0.5797132160768524
Rule1,QF-MIG,15,0.5734089143180052
Rule1,QF-MIG,16,0.5602236810114272
Rule1,QF-MIG,17,0.5646937720619745
Rule1,QF-MIG,18,0.5881898557057792
Rule1,QF-MIG,19,0.5618660183052471
Rule1,QF-MIG,20,0.5733015389370957
Rule1,QF-MIG,21,0.5871844184560793
Rule1,QF-MIG,22,0.5679297683792066
Rule1,QF-MIG,23,0.5819161660789083
Rule1,QF-MIG,24,0.5871625535859113
Rule1,QF-MIG,25,0.5711560203504804
Rule1,QF-MIG,26,0.5573623659939722
Rule1,QF-MIG,27,0.5549253246358519
Rule1,QF-MIG,28,0.5787698931565224
Rule1,QF-MIG,29,0.575538456784401
Rule1,QF-MIG,0,0.5722293063950761
Rule1,QF-MIG,4,0.577639751552795
Rule1,QF-MIG,3,0.5766241476611236
Rule1,QF-MIG,1,0.5679297683792066
Rule1,QF-MIG,2,0.5676929859161466
Rule1,QF-MIG,5,0.5849810005529319
Rule1,QF-MIG,6,0.5687109948199354
Rule1,QF-MIG,7,0.558324496288441
Rule1,QF-MIG,8,0.5674750697251784
Rule1,QF-MIG,9,0.5710025579741198
Rule1,QF-MIG,10,0.5681701043727976
Rule1,QF-MIG,11,0.5660687423502807
Rule1,QF-MIG,12,0.5671332777108248
Rule1,QF-MIG,13,0.5838499443649658
Rule1,QF-MIG,14,0.566903850145976
Rule1,QF-MIG,15,0.5723086331038487
Rule1,QF-MIG,16,0.5633428125860013
Rule1,QF-MIG,18,0.5594067662753233
Rule1,QF-MIG,17,0.5721348314606742
Rule1,QF-MIG,19,0.5701272391046341
Rule1,QF-MIG,20,0.5735124709247155
Rule1,QF-MIG,23,0.5702714663953143
Rule1,QF-MIG,22,0.5541180629197596
Rule1,QF-MIG,21,0.5849516840228914
Rule1,QF-MIG,24,0.5687109948199354
Rule1,QF-MIG,25,0.5714266799073154
Rule1,QF-MIG,26,0.5602236810114272
Rule1,QF-MIG,27,0.5796816706770569
Rule1,QF-MIG,28,0.5745568300312826
Rule1,QF-MIG,29,0.5745230268058439
Rule1,QF-MIG,0,0.5617189699428666
Rule1,QF-MIG,1,0.569006258640413
Rule1,QF-MIG,3,0.5708812260536398
Rule1,QF-MIG,2,0.564801441651539
Rule1,QF-MIG,4,0.5638634098092096
Rule1,QF-MIG,5,0.5574171106755377
Rule1,QF-MIG,6,0.5702714663953143
Rule1,QF-MIG,7,0.5634161569615497
Rule1,QF-MIG,8,0.5764745883207505
Rule1,QF-MIG,9,0.5586287288719334
Rule1,QF-MIG,10,0.5647495361781076
Rule1,QF-MIG,11,0.5775446404917077
Rule1,QF-MIG,13,0.5806375755568436
Rule1,QF-MIG,12,0.5806783144912642
Rule1,QF-MIG,14,0.5759690445112253
Rule1,QF-MIG,15,0.5614478328352933
Rule1,QF-MIG,16,0.5566926042064164
Rule1,QF-MIG,17,0.5733015389370957
Rule1,QF-MIG,18,0.5816669022046353
Rule1,QF-MIG,19,0.5733015389370957
Rule1,QF-MIG,20,0.5560879019853968
Rule1,QF-MIG,22,0.5698613036681893
Rule1,QF-MIG,21,0.5700816735289214
Rule1,QF-MIG,23,0.5636129069314062
Rule1,QF-MIG,25,0.5655893021493151
Rule1,QF-MIG,24,0.5732581967213115
Rule1,QF-MIG,26,0.5687109948199354
Rule1,QF-MIG,27,0.5681967918687613
Rule1,QF-MIG,28,0.5761077209834722
