Rule,Instance,Algorithm,Run,Type,Group,Param_Value,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,LEARNING_RATE,0.05,0.9959919839679359,0.7646153846153846,0.8299010368935844,0.23541873619632872,0.7615507938954832,59.126176595687866
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,LEARNING_RATE,0.05,0.9980506822612085,0.7876923076923077,0.8464485839242594,0.21231664101681835,0.7861568451042135,58.143248319625854
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,LEARNING_RATE,0.5,0.9979959919839679,0.7661538461538462,0.8320958622239898,0.23385474063351241,0.76461846770464,58.98637294769287
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,LEARNING_RATE,0.15,0.9584905660377359,0.7815384615384615,0.8172488060679839,0.22237013489866356,0.7490972423802612,58.71691417694092
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,HYBRID_RATIO,0.5,1.0,0.7630769230769231,0.8312266596674449,0.2369230769230769,0.7630769230769231,59.142210960388184
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,GREEDY_RATIO,0.4,1.0,0.7769230769230769,0.8404337095925881,0.22307692307692306,0.7769230769230769,59.17291235923767
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,GREEDY_RATIO,0.1,0.9979879275653923,0.7630769230769231,0.8300546252990111,0.236931620545212,0.7615415570345148,59.43521595001221
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,LEARNING_RATE,0.5,1.0,0.76,0.8291866028708135,0.24,0.76,59.2079119682312
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,HYBRID_RATIO,0.99,1.0,0.7430769230769231,0.8180009455745166,0.2569230769230769,0.7430769230769231,59.63073515892029
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,GREEDY_RATIO,0.5,0.9920634920634921,0.7692307692307693,0.8306088965915656,0.23090566478120175,0.7631257631257632,59.5044367313385
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,HYBRID_RATIO,0.7,0.9900199600798403,0.7630769230769231,0.8253519371687879,0.2371331810934653,0.7554613849224627,60.249096632003784
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,HYBRID_RATIO,0.5,0.9979879275653923,0.7630769230769231,0.8300546252990111,0.236931620545212,0.7615415570345148,60.44069266319275
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,HYBRID_RATIO,0.7,0.9979757085020243,0.7584615384615384,0.8269966875230033,0.2415469440055818,0.7569261912176891,61.04342818260193
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,POP_SIZE,250,0.9979879275653923,0.7630769230769231,0.8300546252990111,0.236931620545212,0.7615415570345148,63.68555998802185
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,POP_SIZE,250,0.9979919678714859,0.7646153846153846,0.8310749774164408,0.23539318034470003,0.7630800123571208,63.96384358406067
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,POP_SIZE,300,1.0,0.7830769230769231,0.8445408272579347,0.21692307692307689,0.7830769230769231,67.3591160774231
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,POP_SIZE,300,0.9804305283757339,0.7707692307692308,0.8245258936986377,0.23006457741639225,0.7556856841788349,72.72262525558472
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,POP_SIZE,50,0.9903100775193798,0.7861538461538462,0.8406894532067104,0.21406557899969184,0.778536076326774,23.377421140670776
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,HYBRID_RATIO,0.99,1.0,0.7461538461538462,0.8200305906749998,0.25384615384615383,0.7461538461538462,77.03773427009583
